Vector_ID,Backbone,tRNA_array,U6_vector,Short_note,Vector_link,Cloned,Cloned_by,Box_1_Ago_EHA105,Transformed_valencia,Transformed_carrizo,GFP_positives
YCV00031,pCambia1300_RPS8a (GFP-nptII),YCA00031,FALSE,,,4/2/2021,Chantal,p,,,
YCV00033,pCambia1300_RPS8a (GFP-nptII),YCA00033,FALSE,,,3/2/2021,Cintia,A7,4/6/21,,
YCV00034,pCambia1300_RPS8a (GFP-nptII),YCA00034,FALSE,,,4/2/2021,Chantal,p,,,
YCV00038,pCambia1300_RPS8a (GFP-nptII),YCA00038,FALSE,,,4/2/2021,Chantal,p,,,
YCV00039,pCambia1300_RPS8a (GFP-nptII),YCA00039,FALSE,,,2/22/2021,Chantal,B3,4/6/21,,
YCV00041,pCambia1300_RPS8a (GFP-nptII),YCA00041,FALSE,,,3/11/2021,Corina,C2,3/30/21,,
YCV00042,pCambia1300_RPS8a (GFP-nptII),YCA00042,FALSE,,,2/22/2021,Chantal,B4,4/6/21,,
YCV00046,pCambia1300_RPS8a (GFP-nptII),YCA00046,FALSE,,,4/2/2021,Chantal,p,,,
YCV00047,pCambia1300_RPS8a (GFP-nptII),YCA00047,FALSE,,,4/2/2021,Chantal,p,,,
YCV00048,pCambia1300_RPS8a (GFP-nptII),YCA00048,FALSE,,,4/2/2021,Chantal,,,,
YCV00049,pCambia1300_RPS8a (GFP-nptII),YCA00049,FALSE,,,3/2/2021,Cintia,B5,,,
YCV00050,pCambia1300_RPS8a (GFP-nptII),YCA00050,FALSE,,,2/22/2021,Chantal,B6,,,
YCV00051,pCambia1300_RPS8a (GFP-nptII),YCA00051,FALSE,,,3/2/2021,Cintia,C3,3/30/21,,
YCV00052,,YCA00052,FALSE,,,,,,,,
YCV00053,pCambia1300_RPS8a (GFP-nptII),YCA00053,FALSE,,,4/2/2021,Chantal,,,,
YCV00054,pCambia1300_RPS8a (GFP-nptII),YCA00054,FALSE,,,3/11/2021,Corina,C4,3/30/21,,
YCV00055,pCambia1300_RPS8a (GFP-nptII),YCA00055,FALSE,,,4/2/2021,Chantal,,,,
YCV00058,pCambia1300_RPS8a (GFP-nptII),YCA00058,FALSE,,,4/2/2021,Chantal,,,,
YCV00059,pCambia1300_RPS8a (GFP-nptII),YCA00059,FALSE,,,4/2/2021,Chantal,,,,
YCV00060,pCambia1300_RPS8a (GFP-nptII),YCA00060,FALSE,,,4/2/2021,Chantal,,,,
YCV00061,pCambia1300_RPS8a (GFP-nptII),YCA00061,FALSE,,,4/2/2021,Chantal,,,,
YCV00062,pCambia1300_RPS8a (GFP-nptII),YCA00062,FALSE,,,4/2/2021,Chantal,,,,
YCV00063,pCambia1300_RPS8a (GFP-nptII),YCA00063,FALSE,,,4/2/2021,Chantal,,,,
YCV00064,pCambia1300_RPS8a (GFP-nptII),YCA00064,FALSE,,,3/2/2021,Cintia,C5,3/30/21,,
YCV00065,pCambia1300_RPS8a (GFP-nptII),YCA00065,FALSE,,,3/11/2021,Corina,C6,3/30/21,,
YCV00066,pCambia1300_RPS8a (GFP-nptII),YCA00066,FALSE,,,3/2/2021,Cintia,C7,3/30/21,,
YCV00067,pCambia1300_RPS8a (GFP-nptII),YCA00067,FALSE,,,3/2/2021,Cintia,C8,3/30/21,,
YCV00068,pCambia1300_Yao+hSpCas9 (GFP-nptII),NA,TRUE,,,,,,,,
YCV00069,pCambia1300_Yao+hSpCas9 (GFP-nptII),NA,TRUE,,,,,,,,
YCV00070,pCambia1300_Yao+hSpCas9 (GFP-nptII),NA,TRUE,,,,,,,,
YCV00071,pCambia1300_Yao+hSpCas9 (GFP-nptII),NA,TRUE,,,,,,,,
